======C:1.0E-4	Delta:0.01
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:31	RecBLocks:4	TO:7.75
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:10	RecBLocks:4	TO:2.5
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:35	RecBLocks:4	TO:8.75
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:14	RecBLocks:4	TO:3.5
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:24	RecBLocks:4	TO:6.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:20	RecBLocks:4	TO:5.0
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:14	RecBLocks:4	TO:3.5
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:14	RecBLocks:4	TO:3.5
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:10	RecBLocks:4	TO:2.5
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:14	RecBLocks:4	TO:3.5
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:14	RecBLocks:4	TO:3.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:15	RecBLocks:4	TO:3.75
TxBlocks:24	RecBLocks:4	TO:6.0
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:20	RecBLocks:4	TO:5.0
TxBlocks:15	RecBLocks:4	TO:3.75
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:26	RecBLocks:4	TO:6.5
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:14	RecBLocks:4	TO:3.5
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:20	RecBLocks:4	TO:5.0
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:21	RecBLocks:4	TO:5.25
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:14	RecBLocks:4	TO:3.5
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:20	RecBLocks:4	TO:5.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:27	RecBLocks:4	TO:6.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:26	RecBLocks:4	TO:6.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:14	RecBLocks:4	TO:3.5
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:22	RecBLocks:4	TO:5.5
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:23	RecBLocks:4	TO:5.75
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:20	RecBLocks:4	TO:5.0
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:10	RecBLocks:4	TO:2.5
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:26	RecBLocks:4	TO:6.5
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:15	RecBLocks:4	TO:3.75
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:26	RecBLocks:4	TO:6.5
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:15	RecBLocks:4	TO:3.75
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:30	RecBLocks:4	TO:7.5
TxBlocks:22	RecBLocks:4	TO:5.5
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:20	RecBLocks:4	TO:5.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:10	RecBLocks:4	TO:2.5
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:21	RecBLocks:4	TO:5.25
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:15	RecBLocks:4	TO:3.75
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:10	RecBLocks:4	TO:2.5
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:14	RecBLocks:4	TO:3.5
TxBlocks:20	RecBLocks:4	TO:5.0
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:26	RecBLocks:4	TO:6.5
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:22	RecBLocks:4	TO:5.5
TxBlocks:24	RecBLocks:4	TO:6.0
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:20	RecBLocks:4	TO:5.0
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:15	RecBLocks:4	TO:3.75
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:15	RecBLocks:4	TO:3.75
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:10	RecBLocks:4	TO:2.5
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:22	RecBLocks:4	TO:5.5
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:10	RecBLocks:4	TO:2.5
TxBlocks:10	RecBLocks:4	TO:2.5
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:12	RecBLocks:4	TO:3.0
======C:1.0E-4	Delta:0.1
TxBlocks:10	RecBLocks:4	TO:2.5
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:10	RecBLocks:4	TO:2.5
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:10	RecBLocks:4	TO:2.5
TxBlocks:15	RecBLocks:4	TO:3.75
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:22	RecBLocks:4	TO:5.5
TxBlocks:10	RecBLocks:4	TO:2.5
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:15	RecBLocks:4	TO:3.75
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:10	RecBLocks:4	TO:2.5
TxBlocks:37	RecBLocks:4	TO:9.25
TxBlocks:23	RecBLocks:4	TO:5.75
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:22	RecBLocks:4	TO:5.5
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:10	RecBLocks:4	TO:2.5
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:10	RecBLocks:4	TO:2.5
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:14	RecBLocks:4	TO:3.5
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:31	RecBLocks:4	TO:7.75
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:51	RecBLocks:4	TO:12.75
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:43	RecBLocks:4	TO:10.75
TxBlocks:22	RecBLocks:4	TO:5.5
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:15	RecBLocks:4	TO:3.75
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:14	RecBLocks:4	TO:3.5
TxBlocks:37	RecBLocks:4	TO:9.25
TxBlocks:10	RecBLocks:4	TO:2.5
TxBlocks:13	RecBLocks:4	TO:3.25
